tx,pupae_count,adult_count,total_count,genotype
DMSO,12,0,65,ret2b
DMSO,10,0,48,ret2b
DMSO,40,0,100,ret2b
DMSO,42,0,95,ret2b
ZINC9820-1uM,22,0,74,ret2b
ZINC9820-1uM,14,0,54,ret2b
ZINC9820-1uM,16,2,47,ret2b
ZINC9820-1uM,20,0,72,ret2b
ZINC9820-10uM,28,0,57,ret2b
ZINC9820-10uM,20,0,54,ret2b
ZINC9820-10uM,34,0,68,ret2b
ZINC9820-10uM,28,0,68,ret2b
ZINC9820-50uM,34,4,66,ret2b
ZINC9820-50uM,18,0,65,ret2b
ZINC9820-50uM,36,0,107,ret2b
ZINC9820-50uM,12,0,64,ret2b
ZINC4090-1uM,44,0,81,ret2b
ZINC4090-1uM,14,0,58,ret2b
ZINC4090-1uM,16,0,60,ret2b
ZINC4090-1uM,20,0,67,ret2b
ZINC4090-10uM,24,0,110,ret2b
ZINC4090-10uM,24,0,71,ret2b
ZINC4090-10uM,20,0,58,ret2b
ZINC4090-10uM,14,2,60,ret2b
ZINC4090-50uM,16,0,66,ret2b
ZINC4090-50uM,12,2,48,ret2b
ZINC4090-50uM,22,0,69,ret2b
ZINC4090-50uM,24,0,55,ret2b
AD80-1uM,32,0,68,ret2b
AD80-1uM,32,0,108,ret2b
AD80-1uM,24,0,55,ret2b
AD80-1uM,24,0,50,ret2b
AD80-10uM,14,8,48,ret2b
AD80-10uM,22,4,60,ret2b
AD80-10uM,26,10,74,ret2b
AD80-10uM,16,4,52,ret2b
AD80-50uM,24,22,84,ret2b
AD80-50uM,28,22,47,ret2b
AD80-50uM,16,8,62,ret2b
AD80-50uM,20,16,72,ret2b
APS 6-45 1uM,16,0,56,ret2b
APS 6-45 1uM,18,0,66,ret2b
APS 6-45 1uM,25,0,45,ret2b
APS 6-45 1uM,12,0,41,ret2b
APS 6-45 10uM,18,2,52,ret2b
APS 6-45 10uM,14,1,58,ret2b
APS 6-45 10uM,20,0,51,ret2b
APS 6-45 10uM,29,0,64,ret2b
APS 6-45 50uM,27,14,49,ret2b
APS 6-45 50uM,17,11,61,ret2b
APS 6-45 50uM,19,10,63,ret2b
APS 6-45 50uM,39,21,82,ret2b
DMSO,72,70,85,ctrl
DMSO,52,52,65,ctrl
DMSO,67,67,68,ctrl
DMSO,67,64,73,ctrl
ZINC9820-1uM,91,89,100,ctrl
ZINC9820-1uM,49,46,53,ctrl
ZINC9820-1uM,87,81,95,ctrl
ZINC9820-1uM,55,51,61,ctrl
ZINC9820-10uM,51,49,68,ctrl
ZINC9820-10uM,60,51,83,ctrl
ZINC9820-10uM,80,71,91,ctrl
ZINC9820-10uM,56,50,66,ctrl
ZINC9820-50uM,61,58,77,ctrl
ZINC9820-50uM,50,49,64,ctrl
ZINC9820-50uM,49,44,50,ctrl
ZINC9820-50uM,75,70,89,ctrl
ZINC4090-1uM,62,56,84,ctrl
ZINC4090-1uM,68,67,99,ctrl
ZINC4090-1uM,71,68,78,ctrl
ZINC4090-1uM,63,58,76,ctrl
ZINC4090-10uM,53,47,72,ctrl
ZINC4090-10uM,71,67,93,ctrl
ZINC4090-10uM,78,61,95,ctrl
ZINC4090-10uM,67,60,76,ctrl
ZINC4090-50uM,61,57,84,ctrl
ZINC4090-50uM,62,60,71,ctrl
ZINC4090-50uM,50,48,68,ctrl
ZINC4090-50uM,55,52,69,ctrl
AD80-1uM,49,47,50,ctrl
AD80-1uM,57,55,63,ctrl
AD80-1uM,62,58,65,ctrl
AD80-1uM,91,89,97,ctrl
AD80-10uM,49,46,58,ctrl
AD80-10uM,59,58,68,ctrl
AD80-10uM,49,47,60,ctrl
AD80-10uM,89,77,101,ctrl
AD80-50uM,65,63,80,ctrl
AD80-50uM,49,47,52,ctrl
AD80-50uM,61,58,65,ctrl
AD80-50uM,29,26,45,ctrl
APS 6-45 1uM,69,65,85,ctrl
APS 6-45 1uM,50,49,66,ctrl
APS 6-45 1uM,61,55,74,ctrl
APS 6-45 1uM,63,58,85,ctrl
APS 6-45 10uM,54,51,65,ctrl
APS 6-45 10uM,58,56,78,ctrl
APS 6-45 10uM,58,57,61,ctrl
APS 6-45 10uM,82,78,95,ctrl
APS 6-45 50uM,43,41,66,ctrl
APS 6-45 50uM,52,49,70,ctrl
APS 6-45 50uM,61,58,73,ctrl
APS 6-45 50uM,62,59,71,ctrl